1;JANDARK 5 MG 56 FILM KAPLI TABLET;L04AA29;tofacitinib;ILKO ILAÇ SAN. VE TIC. A.S.;Normal
2;NITINAB 200 MG SERT KAPSUL (112 KAPSUL);L01EA03;nilotinib;NOBEL ILAÇ SAN. VE TIC. A.S.;Normal
3;TRAJENTA 5 MG FILM KAPLI TABLET;A10BH05;linagliptin;BOEHRINGER INGELHEIM ILAÇ TICARET A.S.;Normal
4;WINRHO SDF 1500 IU (300 MCG)/1,3 ML IV/IM ENJEKSIYONLUK COZELTI;J06BB01;anti-d (rh) immunoglobulin;RA ILAÇ SANAYI VE TICARET A.S.;Mor
5;ADDAVEN IV INFUZYON ICIN KONSANTRE SOLUSYON;B05XA31;electrolytes in combination with other drugs;FRESENIUS KABI ILAÇ SAN. ve TIC. LTD. STI.;Normal
6;"BEXATEN JEL %1 ";L01XF03;bexarotene;TOBIO NOVELFARMA ILAÇ SANAYI VE TICARET LIMITED SIRKETI;Normal
7;CAELYX 2 MG/ML KONSANTRE INFUZYON COZELTISI (1 FLAKON);L01DB01;doxorubicin;JOHNSON AND JOHNSON SIHHI MAL. SAN. VE TIC. LTD. STI.;Normal
8;GLUCOPHAGE 1000 MG 100 FILM TABLET;A10BA02;metformin;MERCK ILAÇ ECZA VE KIMYA TIC. A.S.;Normal
9;MARINCAP 500 MG YUMUSAK KAPSUL;C10AX06;omega-3-triglycerides incl. other esters and acids;KOCAK FARMA;Normal
10;MARINCAP SPECIAL 45 YUMUSAK KAPSUL;C10AX06;omega-3-triglycerides incl. other esters and acids;KOCAK FARMA;Normal
11;METRONIDAZOL 500 MG 100 ML SOLUSYON;J01XD01;metronidazole;FRESENIUS KABI ILAÇ SAN. ve TIC. LTD. STI.;Normal
12;VOLUVEN % 6 500 ML SOLUSYON;B05AA07;hydroxyethylstarch;FRESENIUS KABI ILAÇ SAN. ve TIC. LTD. STI.;Normal
13;SPINRAZA 12 MG/5 ML INTRATEKAL ENJEKSIYONLUK COZELTI;M09AX07;nusinersen;GEN ILAÇ VE SAGLIK ÜRÜNLERI SAN.VE TIC. A.S.;Normal
14;% 0,9 SODYUM KLORUR SOLUSYONU 1000 ML(SETLI);B05XA03;sodium chloride;I.E. ULAGAY ILAÇ SANAYII TÜRK A.S.;Normal
15;% 0,9 SODYUM KLORUR SOLUSYONU 500 ML(SETLI);B05XA03;sodium chloride;I.E. ULAGAY ILAÇ SANAYII TÜRK A.S.;Normal
16;% 10 DEKSTROZ SOLUSYONU 500 ML(SETLI);B05BA03;carbohydrates;I.E. ULAGAY ILAÇ SANAYII TÜRK A.S.;Normal
17;% 5 DEKSTROZ LAKTATLI RINGER SOLUSYONU 1000 ML(SETLI);B05BB02;electrolytes with carbohydrates;I.E. ULAGAY ILAÇ SANAYII TÜRK A.S.;Normal
18;% 5 DEKSTROZ LAKTATLI RINGER SOLUSYONU 500 ML(SETLI);B05BB02;electrolytes with carbohydrates;I.E. ULAGAY ILAÇ SANAYII TÜRK A.S.;Normal
19;% 5 DEKSTROZ SOLUSYONU 1000 ML(SETLI);B05BA03;carbohydrates;I.E. ULAGAY ILAÇ SANAYII TÜRK A.S.;Normal
20;% 5 DEKSTROZ SOLUSYONU 500 ML(SETLI);B05BA03;carbohydrates;I.E. ULAGAY ILAÇ SANAYII TÜRK A.S.;Normal
21;%0,9 IZOTONIK 1000 ML SOLUSYON(SETLI);B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
22;%0,9 IZOTONIK 500 ML SOLUSYON(SETLI);B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
23;%0,9 IZOTONIK 500 ML SOLUSYON(SETSIZ);B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
24;%0,9 IZOTONIK SODYUM KLORUR 250 ML SOLUSYON(SETLI);B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
25;%0,9 IZOTONIK SODYUM KLORUR 250 ML SOLUSYON(SETSIZ);B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
26;%0,9 IZOTONIK SODYUM KLORUR COZELTISI 1000 ML BFS (SETLI);B05XA03;sodium chloride;DEVA HOLDING A.S.;Normal
27;%0,9 IZOTONIK SODYUM KLORUR COZELTISI 1000 ML BFS (SETSIZ);B05XA03;sodium chloride;DEVA HOLDING A.S.;Normal
28;%0,9 IZOTONIK SODYUM KLORUR COZELTISI 500 ML BFS (SETLI);B05XA03;sodium chloride;DEVA HOLDING A.S.;Normal
29;%0,9 IZOTONIK SODYUM KLORUR COZELTISI 500 ML BFS (SETSIZ);B05XA03;sodium chloride;DEVA HOLDING A.S.;Normal
30;%0,9 IZOTONIK SODYUM KLORUR COZELTISI BFS 100 ML (SETLI);B05XA03;sodium chloride;DEVA HOLDING A.S.;Normal
31;%0,9 IZOTONIK SODYUM KLORUR COZELTISI BFS 100 ML (SETSIZ);B05XA03;sodium chloride;DEVA HOLDING A.S.;Normal
32;%0,9 IZOTONIK SODYUM KLORUR ICEREN IRRIGASYON SOLUSYONU 1000 ML (POLIPROPILEN SISE);B05CB01;sodium chloride;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
33;%0,9 IZOTONIK SODYUM KLORUR ICEREN IRRIGASYON SOLUSYONU 500 ML (POLIPROPILEN SISE);B05CB01;sodium chloride;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
34;%0,9 NACL IE 1000 ML SOLUSYON(SETSIZ);B05XA03;sodium chloride;I.E. ULAGAY ILAÇ SANAYII TÜRK A.S.;Normal
35;%0,9 SODYUM KLORUR 10 ML 10 AMPUL;B05XA03;sodium chloride;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
36;%0,9 SODYUM KLORUR IE 500 ML SOLUSYON(SETSIZ);B05XA03;sodium chloride;I.E. ULAGAY ILAÇ SANAYII TÜRK A.S.;Normal
37;%0,9 SODYUM KLORUR PVC 100 ML SOLUSYON;B05XA03;sodium chloride;KANSUK LABORATUARI SANAYI VE TICARET A.S.;Normal
38;%0,9 SODYUM KLORUR PVC 150 ML SOLUSYON;B05XA03;sodium chloride;KANSUK LABORATUARI SANAYI VE TICARET A.S.;Normal
39;%0,9 SODYUM KLORUR PVC 250 ML SOLUSYON;B05XA03;sodium chloride;KANSUK LABORATUARI SANAYI VE TICARET A.S.;Normal
40;%0,9 SODYUM KLORUR PVC 3000 ML SOLUSYON;B05XA03;sodium chloride;KANSUK LABORATUARI SANAYI VE TICARET A.S.;Normal
41;%09 IZOTONIK 1000 ML SOLUSYON;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
42;%09 SODYUM KLORUR 1000 ML SOLUSYON SETSIZ;B05XA03;sodium chloride;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
43;%09 SODYUM KLORUR 500 ML SOLUSYON SETSIZ;B05XA03;sodium chloride;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
44;%1.5 GLISIN COZELTISI 3000 ML (SETSIZ-MEDIFLEKS);B05CX03;glycine;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
45;%10 DEKSTROZ 1000 ML SOLUSYON(SETLI);B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
46;%10 DEKSTROZ 1000 ML SOLUSYON(SETSIZ);B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
47;%10 DEKSTROZ 500 ML SOLUSYON;B05BA03;carbohydrates;I.E. ULAGAY ILAÇ SANAYII TÜRK A.S.;Normal
48;%10 DEKSTROZ SOLUSYONU 500 ML SETLI (CAM SISE);B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
49;%10 DEKSTROZ SOLUSYONU 500 ML SETSIZ (CAM SISE);B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
50;%10 DEKSTROZ SUDAKI 250 ML SOLUSYON(SETLI);B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
51;%10 DEKSTROZ SUDAKI 250 ML SOLUSYON(SETSIZ);B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
52;%10 DEKSTROZ SUDAKI COZELTISI 150 ML (MEDIFLEKS-SETLI);B05BA03;carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
53;%10 DEKSTROZ SUDAKI COZELTISI 150 ML (MEDIFLEKS-SETSIZ);B05BA03;carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
54;%10 DEKSTROZ SUDAKI COZELTISI 500 ML (MEDIFLEKS-SETLI);B05BA03;carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
55;%10 DEKSTROZ SUDAKI COZELTISI 500 ML (MEDIFLEKS-SETSIZ);B05BA03;carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
56;%10 DEKSTROZ SUDAKI HIPERTONIK SOLUSYON 500 ML SETLI SISE;B05BA03;carbohydrates;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
