city_code;city;town_code;town
1;ADANA;1757;ALADAG
1;ADANA;1219;CEYHAN
1;ADANA;2033;ÇUKUROVA
1;ADANA;1329;FEKE
1;ADANA;1806;IMAMOGLU
1;ADANA;1437;KARAISALI
1;ADANA;1443;KARATAS
1;ADANA;1486;KOZAN
1;ADANA;1580;POZANTI
1;ADANA;1588;SAIMBEYLI
1;ADANA;2032;SARIÇAM
1;ADANA;1104;SEYHAN
1;ADANA;1687;TUFANBEYLI
1;ADANA;1734;YUMURTALIK
1;ADANA;1748;YÜREGIR
2;ADIYAMAN;1182;BESNI
2;ADIYAMAN;1246;ÇELIKHAN
2;ADIYAMAN;1347;GERGER
2;ADIYAMAN;1354;GÖLBASI
2;ADIYAMAN;1425;KAHTA
2;ADIYAMAN;1105;MERKEZ
2;ADIYAMAN;1592;SAMSAT
2;ADIYAMAN;1985;SINCIK
2;ADIYAMAN;1989;TUT
3;AFYONKARAHISAR;1771;BASMAKÇI
3;AFYONKARAHISAR;1200;BOLVADIN
3;AFYONKARAHISAR;1239;ÇAY
3;AFYONKARAHISAR;1906;ÇOBANLAR
3;AFYONKARAHISAR;1267;DAZKIRI
3;AFYONKARAHISAR;1281;DINAR
3;AFYONKARAHISAR;1306;EMIRDAG
3;AFYONKARAHISAR;1923;EVCILER
3;AFYONKARAHISAR;NULL;GÖLBASI
3;AFYONKARAHISAR;1944;HOCALAR
3;AFYONKARAHISAR;1404;IHSANIYE
3;AFYONKARAHISAR;1809;ISCEHISAR
3;AFYONKARAHISAR;1961;KIZILÖREN
3;AFYONKARAHISAR;1108;MERKEZ
3;AFYONKARAHISAR;1594;SANDIKLI
3;AFYONKARAHISAR;1626;SINANPASA
3;AFYONKARAHISAR;1664;SUHUT
3;AFYONKARAHISAR;1639;SULTANDAGI
4;AGRI;1283;DIYADIN
4;AGRI;1287;DOGUBAYAZIT
4;AGRI;1301;ELESKIRT
4;AGRI;1379;HAMUR
4;AGRI;1111;MERKEZ
4;AGRI;1568;PATNOS
4;AGRI;1667;TASLIÇAY
4;AGRI;1691;TUTAK
5;AMASYA;1363;GÖYNÜCEK
5;AMASYA;1368;GÜMÜSHACIKÖY
5;AMASYA;1938;HAMAMÖZÜ
5;AMASYA;1134;MERKEZ
5;AMASYA;1524;MERZIFON
5;AMASYA;1641;SULUOVA
5;AMASYA;1668;TASOVA
6;ANKARA;1872;AKYURT
6;ANKARA;1130;ALTINDAG
6;ANKARA;1157;AYAS
6;ANKARA;1167;BALA
6;ANKARA;1187;BEYPAZARI
6;ANKARA;1227;ÇAMLIDERE
6;ANKARA;1231;ÇANKAYA
6;ANKARA;1260;ÇUBUK
6;ANKARA;1302;ELMADAG
6;ANKARA;1922;ETIMESGUT
6;ANKARA;1924;EVREN
6;ANKARA;1744;GÖLBASI
6;ANKARA;1365;GÜDÜL
6;ANKARA;1387;HAYMANA
6;ANKARA;1427;KALECIK
6;ANKARA;1815;KAZAN
6;ANKARA;1745;KEÇIÖREN
6;ANKARA;1473;KIZILCAHAMAM
6;ANKARA;1746;MAMAK
6;ANKARA;1539;NALLIHAN
6;ANKARA;1578;POLATLI
6;ANKARA;2034;PURSAKLAR
6;ANKARA;1658;SEREFLIKOÇHISAR
6;ANKARA;1747;SINCAN
6;ANKARA;1723;YENIMAHALLE
7;ANTALYA;1121;AKSEKI
7;ANTALYA;2035;AKSU
7;ANTALYA;1126;ALANYA
7;ANTALYA;1811;DEMRE
7;ANTALYA;2036;DÖSEMEALTI
7;ANTALYA;1303;ELMALI
7;ANTALYA;1333;FINIKE
7;ANTALYA;1337;GAZIPASA
7;ANTALYA;NULL;GÖLBASI
7;ANTALYA;1370;GÜNDOGMUS
7;ANTALYA;1946;IBRADI
7;ANTALYA;1451;KAS
7;ANTALYA;2037;KEPEZ
7;ANTALYA;2038;KONYAALTI
7;ANTALYA;1483;KORKUTELI
7;ANTALYA;1492;KUMLUCA
7;ANTALYA;1512;MANAVGAT
7;ANTALYA;2039;MURATPASA
7;ANTALYA;1616;SERIK
8;ARTVIN;1145;ARDANUÇ
8;ARTVIN;1147;ARHAVI
8;ARTVIN;1202;BORÇKA
8;ARTVIN;1395;HOPA
8;ARTVIN;1152;MERKEZ
8;ARTVIN;1828;MURGUL
8;ARTVIN;1653;SAVSAT
8;ARTVIN;1736;YUSUFELI
