city_code;city;town_code;town;percentage
1;ADANA;1757;ALADAG;2,69
1;ADANA;1219;CEYHAN;2,69
1;ADANA;2033;ÇUKUROVA;2,69
1;ADANA;1329;FEKE;2,69
1;ADANA;1806;IMAMOGLU;2,69
1;ADANA;1437;KARAISALI;2,69
1;ADANA;1443;KARATAS;2,69
1;ADANA;1486;KOZAN;2,69
1;ADANA;1580;POZANTI;2,69
1;ADANA;1588;SAIMBEYLI;2,69
1;ADANA;2032;SARIÇAM;2,69
1;ADANA;1104;SEYHAN;2,69
1;ADANA;1687;TUFANBEYLI;2,69
1;ADANA;1734;YUMURTALIK;2,69
1;ADANA;1748;YÜREGIR;2,69
2;ADIYAMAN;1182;BESNI;1,01
2;ADIYAMAN;1246;ÇELIKHAN;1,01
2;ADIYAMAN;1347;GERGER;1,01
2;ADIYAMAN;1354;GÖLBASI;1,01
2;ADIYAMAN;1425;KAHTA;1,01
2;ADIYAMAN;1105;MERKEZ;1,01
2;ADIYAMAN;1592;SAMSAT;1,01
2;ADIYAMAN;1985;SINCIK;1,01
2;ADIYAMAN;1989;TUT;1,01
3;AFYONKARAHISAR;1771;BASMAKÇI;0,95
3;AFYONKARAHISAR;1200;BOLVADIN;0,95
3;AFYONKARAHISAR;1239;ÇAY;0,95
3;AFYONKARAHISAR;1906;ÇOBANLAR;0,95
3;AFYONKARAHISAR;1267;DAZKIRI;0,95
3;AFYONKARAHISAR;1281;DINAR;0,95
3;AFYONKARAHISAR;1306;EMIRDAG;0,95
3;AFYONKARAHISAR;1923;EVCILER;0,95
3;AFYONKARAHISAR;NULL;GÖLBASI;0,95
3;AFYONKARAHISAR;1944;HOCALAR;0,95
3;AFYONKARAHISAR;1404;IHSANIYE;0,95
3;AFYONKARAHISAR;1809;ISCEHISAR;0,95
3;AFYONKARAHISAR;1961;KIZILÖREN;0,95
3;AFYONKARAHISAR;1108;MERKEZ;0,95
3;AFYONKARAHISAR;1594;SANDIKLI;0,95
3;AFYONKARAHISAR;1626;SINANPASA;0,95
3;AFYONKARAHISAR;1664;SUHUT;0,95
3;AFYONKARAHISAR;1639;SULTANDAGI;0,95
4;AGRI;1283;DIYADIN;0,67
4;AGRI;1287;DOGUBAYAZIT;0,67
4;AGRI;1301;ELESKIRT;0,67
4;AGRI;1379;HAMUR;0,67
4;AGRI;1111;MERKEZ;0,67
4;AGRI;1568;PATNOS;0,67
4;AGRI;1667;TASLIÇAY;0,67
4;AGRI;1691;TUTAK;0,67
5;AMASYA;1363;GÖYNÜCEK;0,4
5;AMASYA;1368;GÜMÜSHACIKÖY;0,4
5;AMASYA;1938;HAMAMÖZÜ;0,4
5;AMASYA;1134;MERKEZ;0,4
5;AMASYA;1524;MERZIFON;0,4
5;AMASYA;1641;SULUOVA;0,4
5;AMASYA;1668;TASOVA;0,4
6;ANKARA;1872;AKYURT;5,54
6;ANKARA;1130;ALTINDAG;5,54
6;ANKARA;1157;AYAS;5,54
6;ANKARA;1167;BALA;5,54
6;ANKARA;1187;BEYPAZARI;5,54
6;ANKARA;1227;ÇAMLIDERE;5,54
6;ANKARA;1231;ÇANKAYA;5,54
6;ANKARA;1260;ÇUBUK;5,54
6;ANKARA;1302;ELMADAG;5,54
6;ANKARA;1922;ETIMESGUT;5,54
6;ANKARA;1924;EVREN;5,54
6;ANKARA;1744;GÖLBASI;5,54
6;ANKARA;1365;GÜDÜL;5,54
6;ANKARA;1387;HAYMANA;5,54
6;ANKARA;1427;KALECIK;5,54
6;ANKARA;1815;KAZAN;5,54
6;ANKARA;1745;KEÇIÖREN;5,54
6;ANKARA;1473;KIZILCAHAMAM;5,54
6;ANKARA;1746;MAMAK;5,54
6;ANKARA;1539;NALLIHAN;5,54
6;ANKARA;1578;POLATLI;5,54
6;ANKARA;2034;PURSAKLAR;5,54
6;ANKARA;1658;SEREFLIKOÇHISAR;5,54
6;ANKARA;1747;SINCAN;5,54
6;ANKARA;1723;YENIMAHALLE;5,54
7;ANTALYA;1121;AKSEKI;3,73
7;ANTALYA;2035;AKSU;3,73
7;ANTALYA;1126;ALANYA;3,73
7;ANTALYA;1811;DEMRE;3,73
7;ANTALYA;2036;DÖSEMEALTI;3,73
7;ANTALYA;1303;ELMALI;3,73
7;ANTALYA;1333;FINIKE;3,73
7;ANTALYA;1337;GAZIPASA;3,73
7;ANTALYA;NULL;GÖLBASI;3,73
7;ANTALYA;1370;GÜNDOGMUS;3,73
7;ANTALYA;1946;IBRADI;3,73
7;ANTALYA;1451;KAS;3,73
7;ANTALYA;2037;KEPEZ;3,73
7;ANTALYA;2038;KONYAALTI;3,73
7;ANTALYA;1483;KORKUTELI;3,73
7;ANTALYA;1492;KUMLUCA;3,73
7;ANTALYA;1512;MANAVGAT;3,73
7;ANTALYA;2039;MURATPASA;3,73
7;ANTALYA;1616;SERIK;3,73
8;ARTVIN;1145;ARDANUÇ;0,28
8;ARTVIN;1147;ARHAVI;0,28
8;ARTVIN;1202;BORÇKA;0,28
8;ARTVIN;1395;HOPA;0,28
8;ARTVIN;1152;MERKEZ;0,28
8;ARTVIN;1828;MURGUL;0,28
8;ARTVIN;1653;SAVSAT;0,28
8;ARTVIN;1736;YUSUFELI;0,28
9;AYDIN;1206;BOZDOGAN;1,71
9;AYDIN;1781;BUHARKENT;1,71
9;AYDIN;1256;ÇINE;1,71
9;AYDIN;2000;DIDIM;1,71
9;AYDIN;1348;GERMENCIK;1,71
9;AYDIN;NULL;GÖLBASI;1,71
9;AYDIN;1807;INCIRLIOVA;1,71
9;AYDIN;1435;KARACASU;1,71
9;AYDIN;1957;KARPUZLU;1,71
9;AYDIN;1479;KOÇARLI;1,71
9;AYDIN;1968;KÖSK;1,71
9;AYDIN;1497;KUSADASI;1,71
9;AYDIN;1498;KUYUCAK;1,71
9;AYDIN;1159;MERKEZ;1,71
9;AYDIN;1542;NAZILLI;1,71
9;AYDIN;1637;SÖKE;1,71
9;AYDIN;1640;SULTANHISAR;1,71
10;BALIKESIR;1161;AYVALIK;2,21
10;BALIKESIR;1169;BALYA;2,21
10;BALIKESIR;1171;BANDIRMA;2,21
10;BALIKESIR;1191;BIGADIÇ;2,21
10;BALIKESIR;1216;BURHANIYE;2,21
10;BALIKESIR;1291;DURSUNBEY;2,21
10;BALIKESIR;1310;ERDEK;2,21
10;BALIKESIR;NULL;GÖLBASI;2,21
10;BALIKESIR;1928;GÖMEÇ;2,21
10;BALIKESIR;1384;HAVRAN;2,21
10;BALIKESIR;1418;IVRINDI;2,21
10;BALIKESIR;1462;KEPSUT;2,21
10;BALIKESIR;1514;MANYAS;2,21
10;BALIKESIR;1824;MARMARA;2,21
10;BALIKESIR;1168;MERKEZ;2,21
10;BALIKESIR;1608;SAVASTEPE;2,21
10;BALIKESIR;1619;SINDIRGI;2,21
10;BALIKESIR;1644;SUSURLUK;2,21
11;BILECIK;1210;BOZÜYÜK;0,29
11;BILECIK;NULL;GÖLBASI;0,29
11;BILECIK;1359;GÖLPAZARI;0,29
11;BILECIK;1948;INHISAR;0,29
11;BILECIK;1192;MERKEZ;0,29
11;BILECIK;1559;OSMANELI;0,29
11;BILECIK;1571;PAZARYERI;0,29
11;BILECIK;1636;SÖGÜT;0,29
12;BINGÖL;1750;ADAKLI;0,33
12;BINGÖL;1344;GENÇ;0,33
12;BINGÖL;1446;KARLIOVA;0,33
12;BINGÖL;1475;KIGI;0,33
12;BINGÖL;1193;MERKEZ;0,33
12;BINGÖL;1633;SOLHAN;0,33
12;BINGÖL;1855;YAYLADERE;0,33
12;BINGÖL;1996;YEDISU;0,33
13;BITLIS;1106;ADILCEVAZ;0,28
13;BITLIS;1112;AHLAT;0,28
13;BITLIS;1798;GÜROYMAK;0,28
13;BITLIS;1394;HIZAN;0,28
13;BITLIS;1196;MERKEZ;0,28
13;BITLIS;1537;MUTKI;0,28
13;BITLIS;1669;TATVAN;0,28
14;BOLU;1916;DÖRTDIVAN;0,36
14;BOLU;1346;GEREDE;0,36
14;BOLU;1364;GÖYNÜK;0,36
14;BOLU;1466;KIBRISCIK;0,36
14;BOLU;1522;MENGEN;0,36
14;BOLU;1199;MERKEZ;0,36
14;BOLU;1531;MUDURNU;0,36
14;BOLU;1610;SEBEN;0,36
14;BOLU;1997;YENIÇAGA;0,36
15;BURDUR;1109;AGLASUN;0,38
15;BURDUR;1211;BUCAK;0,38
15;BURDUR;1899;ÇAVDIR;0,38
15;BURDUR;1903;ÇELTIKÇI;0,38
15;BURDUR;NULL;GÖLBASI;0,38
15;BURDUR;1357;GÖLHISAR;0,38
15;BURDUR;1813;KARAMANLI;0,38
15;BURDUR;1215;MERKEZ;0,38
15;BURDUR;1672;TEFENNI;0,38
15;BURDUR;1728;YESILOVA;0,38
16;BURSA;1783;BÜYÜKORHAN;3,44
16;BURSA;1343;GEMLIK;3,44
16;BURSA;1935;GÜRSU;3,44
16;BURSA;1799;HARMANCIK;3,44
16;BURSA;1411;INEGÖL;3,44
16;BURSA;1420;IZNIK;3,44
16;BURSA;1434;KARACABEY;3,44
16;BURSA;1457;KELES;3,44
16;BURSA;1960;KESTEL;3,44
16;BURSA;1530;MUDANYA;3,44
16;BURSA;1535;MUSTAFAKEMALPASA;3,44
16;BURSA;1829;NILÜFER;3,44
16;BURSA;1553;ORHANELI;3,44
16;BURSA;1554;ORHANGAZI;3,44
16;BURSA;1832;OSMANGAZI;3,44
16;BURSA;1725;YENISEHIR;3,44
16;BURSA;1859;YILDIRIM;3,44
17;ÇANAKKALE;1180;BAYRAMIÇ;0,47
17;ÇANAKKALE;1190;BIGA;0,47
17;ÇANAKKALE;1205;BOZCAADA;0,47
17;ÇANAKKALE;1229;ÇAN;0,47
17;ÇANAKKALE;1293;ECEABAT;0,47
17;ÇANAKKALE;1326;EZINE;0,47
17;ÇANAKKALE;1340;GELIBOLU;0,47
17;ÇANAKKALE;1408;GÖKÇEADA;0,47
17;ÇANAKKALE;NULL;GÖLBASI;0,47
17;ÇANAKKALE;1503;LAPSEKI;0,47
17;ÇANAKKALE;1230;MERKEZ;0,47
18;ÇANKIRI;1765;ATKARACALAR;0,24
18;ÇANKIRI;1885;BAYRAMÖREN;0,24
18;ÇANKIRI;1248;ÇERKES;0,24
18;ÇANKIRI;1300;ELDIVAN;0,24
18;ÇANKIRI;1399;ILGAZ;0,24
18;ÇANKIRI;1817;KIZILIRMAK;0,24
18;ÇANKIRI;1963;KORGUN;0,24
18;ÇANKIRI;1494;KURSUNLU;0,24
18;ÇANKIRI;1232;MERKEZ;0,24
18;ÇANKIRI;1555;ORTA;0,24
18;ÇANKIRI;1649;SABANÖZÜ;0,24
18;ÇANKIRI;1718;YAPRAKLI;0,24
19;ÇORUM;1124;ALACA;0,75
19;ÇORUM;1778;BOGAZKALE;0,75
19;ÇORUM;1911;DODURGA;0,75
19;ÇORUM;NULL;GÖLBASI;0,75
19;ÇORUM;1414;ISKILIP;0,75
19;ÇORUM;1445;KARGI;0,75
19;ÇORUM;1972;LAÇIN;0,75
19;ÇORUM;1520;MECITÖZÜ;0,75
19;ÇORUM;1259;MERKEZ;0,75
